id	CHR	START	STOP	nsnps	logBF_locus.a	logBF_locus.a,b	logBF_locus.a,c	logBF_locus.a,bc	logBF_locus.a,b,c	logBF_locus.b	logBF_locus.b,c	logBF_locus.ac,b	logBF_locus.c	logBF_locus.ab,c	logBF_locus.ab	logBF_locus.ac	logBF_locus.bc	logBF_locus.abc	logBF_locus.zero	bf.a	bf.a,b	bf.a,c	bf.a,bc	bf.a,b,c	bf.b	bf.b,c	bf.ac,b	bf.c	bf.ab,c	bf.ab	bf.ac	bf.bc	bf.abc	bf.zero	PPA.a	PPA.a,b	PPA.a,c	PPA.a,bc	PPA.a,b,c	PPA.b	PPA.b,c	PPA.ac,b	PPA.c	PPA.ab,c	PPA.ab	PPA.ac	PPA.bc	PPA.abc	PPA.zero	best.snp.a	best.snp.b	best.snp.ab	best.snp.c	best.snp.ac	best.snp.bc	best.snp.abc	best.snp.PPA.a	best.snp.PPA.b	best.snp.PPA.ab	best.snp.PPA.c	best.snp.PPA.ac	best.snp.PPA.bc	best.snp.PPA.abc	minpi	minpi.snp	minpi.snp.betas	best.snp.se	best.snp.betas	best.snp.se
ENSG00000140564_cg04510874	15	91407994	91447867	54	17.6037187530951	33.930137195813	108.669686222639	123.983189395642	131.482256083276	18.8234047327126	109.888999529511	122.865601421106	91.06614865177	131.396335645049	40.330187103195	104.042753605233	106.379652826213	119.361769309374	0	21.5927027996594	41.9081052889415	116.647654315767	131.96115748877	139.460224176404	22.8123887792768	117.86696762264	130.843569514234	95.0551326983343	139.374303738178	44.3191711497593	108.031737651797	110.368636872777	123.350753355938	0	7e-46	4.6e-41	1.3e-08	6e-04	0.011	2.4e-45	4.5e-08	2e-04	5.6e-14	0.99	5.2e-38	2.4e-10	2.5e-09	0.00011	2.9e-51	15:91427872	15:91427872	15:91426560	15:91427872	15:91427872	15:91427872	15:91427872	0.99	0.99	0.99	9e-04	3e-04	7e-04	0.00011	2.3e-12,4.49e-13,1.23e-32	15:91426560,15:91426560,15:91427872	-0.0784048829742783,0.0709706743716413,0.062985377046789	0.0037,0.0037,0.00517,0.0037,0.0037,0.0037,0.0037	0.063,0.063,0.0406,0.063,0.063,0.063,0.063	0.0037,0.0037,0.00517,0.0037,0.0037,0.0037,0.0037
ENSG00000182511_cg04510874	15	91407994	91447867	54	17.6037187530951	26.0849508336911	108.669686222639	112.848166757681	121.146677351304	8.48782594490874	99.5537256334213	112.530330937656	91.06614865177	116.12175971156	25.0556179121115	104.042753605233	95.2446289315483	108.219824136719	0	21.5927027996594	34.0629189268197	116.647654315767	120.82613485081	129.124645444432	12.476809991473	107.53169372655	120.508299030785	95.0551326983343	124.099727804688	29.0446019586758	108.031737651797	99.2336129781126	112.208808183284	0	1.1e-39	3e-38	0.022	0.014	0.57	1.3e-43	2.4e-06	0.01	9.2e-08	0.38	2e-38	4e-04	6e-08	0.0026	4.8e-45	15:91427872	15:91427872	15:91427872	15:91427872	15:91427872	15:91427872	15:91427872	0.39	0.39	0.38	0.028	0.013	0.017	0.0026	2.3e-12,1.89e-07,1.23e-32	15:91426560,15:91416550,15:91427872	-0.0784048829742783,-0.0976094749914052,0.062985377046789	0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037	0.063,0.063,0.063,0.063,0.063,0.063,0.063	0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0037
ENSG00000140564_cg12644059	15	91361936	91376978	53	0.682307835702567	-0.02848639787819	37.5419220162194	36.647043818241	40.8232690938333	-0.690396496857001	36.1551938500935	34.2874964343202	36.8610885198646	36.9196551034828	0.0596903909276247	34.9934059006992	35.9662117196271	34.0994759982121	0	4.65259974925469	7.91209742922605	45.4825058433237	44.5876276453453	48.7638529209376	3.27989541669512	44.0957776771978	42.2280802614244	40.8313804334168	44.8602389305871	4.02998230447975	38.9636978142513	39.9365036331792	38.0697679117642	0	1.9e-16	5e-19	0.01	4.2e-05	2.7e-05	4.8e-17	0.0026	4e-06	0.98	5.5e-05	1e-18	0.0015	0.004	6.2e-05	1.8e-14	15:91365169	15:91362001	15:91375065	15:91365169	15:91365169	15:91362001	15:91365169	0.0016	0.0042	0.00012	0.0056	0.0016	0.0041	6.2e-05	0.000753,0.235,1.02e-19	15:91375065,15:91363303,15:91364027	-0.04470452178448,-0.0151193464190815,-0.0244166003515348	0.00219,0.00214,0.00365,0.00219,0.00219,0.00214,0.00219	-0.0244,0.0237,0.0132,-0.0244,-0.0244,0.0237,-0.0244	0.00219,0.00214,0.00365,0.00219,0.00219,0.00214,0.00219
ENSG00000140564_cg05211768	15	91407994	91447766	53	17.6224108845717	33.961311236009	36.3963566638342	52.6963713005668	59.20222807008	18.8354391417538	37.6080294942069	50.3307933372316	18.7742946646023	59.1162487607337	40.3421813514107	32.406055796491	35.2045800036406	54.697217710342	0	21.5927027981239	41.9018950631132	44.3369404909384	60.636955127671	67.1428118971842	22.8057310553059	45.5486133213112	58.2713771643359	22.7445865781545	67.056832587838	44.3124732649629	36.3763477100431	39.1748719171927	58.6675096238941	0	1.5e-14	9.6e-10	1.1e-08	0.0013	0.0088	4.9e-14	3.7e-08	0.00012	4.6e-14	0.81	1.1e-06	3.8e-10	6.3e-09	0.18	6.1e-20	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	0.99	0.99	0.99	0.18	0.18	0.18	0.18	2.3e-12,4.49e-13,3.5e-14	15:91426560,15:91426560,15:91420973	-0.0784048829742783,0.0709706743716413,-0.0272157226460201	0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314	0.0219,0.0219,0.0219,0.0219,0.0219,0.0219,0.0219	0.00314,0.00314,0.00314,0.00314,0.00314,0.00314,0.00314
ENSG00000182511_cg05211768	15	91407994	91447766	53	17.6224108845717	26.1199374071064	36.3963566638342	40.7830061563243	48.871117063713	8.50411975078177	27.2781070489219	40.9097460269787	18.7742946646023	43.8460874360656	25.0718155662293	32.406055796491	23.1610828154136	37.1274111410452	0	21.5927027981239	34.0605212342106	44.3369404909384	48.7235899834286	56.8117008908172	12.4744116643339	35.2186908760261	48.850329854083	22.7445865781545	51.7866712631698	29.0421074797814	36.3763477100431	27.1313747289657	41.0977030545973	0	2.8e-08	7.4e-07	0.022	0.017	0.56	3.1e-12	2.4e-06	0.02	9e-08	0.37	4.9e-07	0.00075	7.2e-08	0.0084	1.2e-13	15:91426560	15:91420973	15:91416550	15:91420973	15:91426560	15:91420973	15:91426560	0.4	0.4	0.38	0.046	0.029	0.026	0.0084	2.3e-12,1.89e-07,3.5e-14	15:91426560,15:91416550,15:91420973	-0.0784048829742783,-0.0976094749914052,-0.0272157226460201	0.00314,0.00313,0.00332,0.00313,0.00314,0.00313,0.00314	0.0219,-0.0272,0.0199,-0.0272,0.0219,-0.0272,0.0219	0.00314,0.00313,0.00332,0.00313,0.00314,0.00313,0.00314
ENSG00000140564_cg02722434	15	91361936	91376978	53	0.682307835702567	-0.02848639787819	19.2744818507425	18.4787418908238	22.5549382405551	-0.690396496857001	17.8852209198485	15.0688201944917	18.592744676186	18.6519551377519	0.0596903909276247	15.7763441444236	17.7970047226644	14.9806153976109	0	4.65259974925469	7.91209742922605	27.2150656778468	26.4193257179281	30.4955220676593	3.27989541669512	25.8258047469528	23.0094040215959	22.5630365897381	26.5925389648561	4.02998230447975	19.7466360579757	21.7672966362165	18.950907311163	0	1.6e-08	4.3e-11	0.01	4.6e-05	2.7e-05	4.1e-09	0.0026	1.5e-06	0.98	5.5e-05	8.8e-11	0.00059	0.0044	2.7e-05	1.6e-06	15:91367271	15:91367271	15:91367271	15:91367271	15:91367271	15:91367271	15:91367271	0.00067	0.0046	8.2e-05	0.0051	0.00062	0.0045	2.7e-05	0.000753,0.235,1.05e-13	15:91375065,15:91363303,15:91364015	-0.04470452178448,-0.0151193464190815,-0.0120903826241171	0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134	0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113	0.00134,0.00134,0.00134,0.00134,0.00134,0.00134,0.00134
ENSG00000140564_cg09169633	15	91427872	91467516	63	12.0009095947189	25.6755428723844	30.4388128172501	31.9036211964635	48.3440434324914	13.7620945824458	32.1999990389349	34.7958105272989	18.4379045289454	45.8640726734866	27.4261681446636	21.0337237941143	19.9028531360183	27.1838580377253	0	16.1440443211104	33.9618123251675	38.7250822700332	40.1898906492466	56.6303128852745	17.9052293088374	40.4862684917179	43.0820799800819	22.581039255337	54.1503421262696	31.5693028710551	25.1768585205058	24.0459878624099	31.3269927641169	0	2.8e-11	1.5e-07	1.8e-05	7.7e-07	0.11	1.6e-10	1e-04	1.4e-05	1.7e-08	0.89	1.4e-06	2.3e-09	7.5e-10	1.1e-07	2.7e-14	15:91428636	15:91428636	15:91428636	15:91452595	15:91452595	15:91452595	15:91428636	0.89	0.89	0.89	1.5e-05	1.4e-05	8.8e-07	1.1e-07	2.37e-09,6.2e-10,1.21e-13	15:91428197,15:91428521,15:91452106	-0.0655950790984102,-0.0671394386734688,-0.0349537034949039	0.00475,0.00475,0.00475,0.00413,0.00413,0.00413,0.00475	-0.00372,-0.00372,-0.00372,0.035,0.035,0.035,-0.00372	0.00475,0.00475,0.00475,0.00413,0.00413,0.00413,0.00475
ENSG00000182511_cg09169633	15	91427872	91467516	63	12.0009095947189	19.5123538397376	30.4388128172501	30.1290519090083	42.1962620496575	7.61431319962139	26.0522119837	28.6480218679906	18.4379045289454	39.8709690646685	21.4330645359252	21.0337237941143	18.1281457539544	21.6920518612488	0	16.1440443211104	27.7986232925207	38.7250822700332	38.4153213617914	50.4825315024406	11.7574479260129	34.3384814364831	36.9342913207737	22.581039255337	48.1572385174515	25.5761992623167	25.1768585205058	22.2712804803459	25.8351865876403	0	1.1e-08	1.3e-07	0.0072	5.3e-05	0.092	1.4e-10	9e-05	1.2e-05	7e-06	0.9	1.4e-06	9.4e-07	5.2e-08	1.8e-07	1.1e-11	15:91429042	15:91429042	15:91429042	15:91452595	15:91452595	15:91452595	15:91429042	0.9	0.9	0.9	6.6e-05	1.3e-05	5.3e-05	1.8e-07	2.37e-09,5.38e-07,1.21e-13	15:91428197,15:91429042,15:91452106	-0.0655950790984102,0.0938294293918497,-0.0349537034949039	0.00475,0.00475,0.00475,0.00413,0.00413,0.00413,0.00475	-0.00372,-0.00372,-0.00372,0.035,0.035,0.035,-0.00372	0.00475,0.00475,0.00475,0.00413,0.00413,0.00413,0.00475
ENSG00000140564_cg18247172	15	91361936	91386009	56	0.631380227221879	0.0314274826303347	9.81540075171284	8.97400915563287	13.2588742686088	-0.582519427711014	8.58827110873866	5.90646853524412	9.1846710006638	9.20027358655929	0.0161363547942459	6.50327180849473	8.34329817973072	5.69034458707732	0	4.65673191795703	8.08213086410063	17.8661041331831	17.0247125371032	21.3095776500791	3.44283226302414	16.638974490209	13.9571719167144	13.210022691399	17.2509769680296	4.0414880455294	10.5286234992299	12.3686498704659	9.71569627781247	0	0.00019	5.7e-07	0.01	4.4e-05	3.2e-05	5.5e-05	0.003	2e-06	0.96	5.5e-05	1e-06	0.00066	0.0042	2.9e-05	0.018	15:91370701	15:91370701	15:91370701	15:91370701	15:91370701	15:91370701	15:91370701	0.00075	0.0043	8.5e-05	0.0049	0.00069	0.0042	2.9e-05	0.000753,0.0148,4.4e-09	15:91375065,15:91383142,15:91370701	-0.04470452178448,0.0475963918283459,-0.0175207855767816	0.00275,0.00275,0.00275,0.00275,0.00275,0.00275,0.00275	-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175,-0.0175	0.00275,0.00275,0.00275,0.00275,0.00275,0.00275,0.00275
ENSG00000140564_cg19348484	15	91397733	91431856	52	17.6416688034844	33.8779112122669	25.7820055853461	41.3612441557458	48.4556988296882	18.7212354897204	26.8619562701277	41.7412869735356	8.14181904742893	48.3686709239344	40.2271444918034	23.2198069552981	23.9997273961264	44.1834091659911	0	21.5929125220658	41.7803986494298	33.6844930225089	49.2637315929087	56.358186266851	22.6724792083018	34.7644437072905	49.6437744106984	12.0930627660104	56.2711583610972	44.1783882103849	27.1710506738796	27.9509711147079	48.1346528845725	0	6.4e-10	3.7e-05	1.1e-08	0.00066	0.008	1.9e-09	3.4e-08	0.00097	4.8e-14	0.73	0.041	1.7e-09	3.7e-09	0.21	2.7e-15	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	15:91426560	0.99	0.99	0.99	0.22	0.22	0.22	0.21	2.3e-12,4.49e-13,4.54e-08	15:91426560,15:91426560,15:91428290	-0.0784048829742783,0.0709706743716413,-0.0170752671682444	0.00308,0.00308,0.00308,0.00308,0.00308,0.00308,0.00308	0.012,0.012,0.012,0.012,0.012,0.012,0.012	0.00308,0.00308,0.00308,0.00308,0.00308,0.00308,0.00308
